Freq.	V(isensa)
4.05583791916018e+001	2.13309033946038e+000,-3.94837975785002e-003
4.08404850282884e+001	2.13309027282855e+000,-3.97584284143308e-003
4.11245530662433e+001	2.13309020526657e+000,-4.00349694440869e-003
4.14105969536557e+001	2.13309013676146e+000,-4.03134339539190e-003
4.16986304336455e+001	2.13309006730006e+000,-4.05938353223733e-003
4.19886673449234e+001	2.13308999686901e+000,-4.08761870210455e-003
4.22807216224559e+001	2.13308992545479e+000,-4.11605026152290e-003
4.25748072981351e+001	2.13308985304366e+000,-4.14467957645644e-003
4.28709385014524e+001	2.13308977962172e+000,-4.17350802236935e-003
4.31691294601778e+001	2.13308970517484e+000,-4.20253698429275e-003
4.34693945010430e+001	2.13308962968873e+000,-4.23176785689006e-003
4.37717480504303e+001	2.13308955314887e+000,-4.26120204452499e-003
4.40762046350651e+001	2.13308947554056e+000,-4.29084096132827e-003
4.43827788827145e+001	2.13308939684888e+000,-4.32068603126639e-003
4.46914855228895e+001	2.13308931705870e+000,-4.35073868820889e-003
4.50023393875531e+001	2.13308923615470e+000,-4.38100037599851e-003
4.53153554118327e+001	2.13308915412133e+000,-4.41147254851944e-003
4.56305486347377e+001	2.13308907094281e+000,-4.44215666976792e-003
4.59479341998822e+001	2.13308898660317e+000,-4.47305421392186e-003
4.62675273562123e+001	2.13308890108620e+000,-4.50416666541208e-003
4.65893434587390e+001	2.13308881437546e+000,-4.53549551899382e-003
4.69133979692759e+001	2.13308872645428e+000,-4.56704227981825e-003
4.72397064571820e+001	2.13308863730577e+000,-4.59880846350413e-003
4.75682846001096e+001	2.13308854691280e+000,-4.63079559621203e-003
4.78991481847580e+001	2.13308845525799e+000,-4.66300521471621e-003
4.82323131076312e+001	2.13308836232374e+000,-4.69543886647963e-003
4.85677953758027e+001	2.13308826809217e+000,-4.72809810972695e-003
4.89056111076836e+001	2.13308817254518e+000,-4.76098451352079e-003
4.92457765337975e+001	2.13308807566441e+000,-4.79409965783611e-003
4.95883079975603e+001	2.13308797743125e+000,-4.82744513363624e-003
4.99332219560653e+001	2.13308787782679e+000,-4.86102254294969e-003
5.02805349808740e+001	2.13308777683192e+000,-4.89483349894680e-003
5.06302637588121e+001	2.13308767442722e+000,-4.92887962601695e-003
5.09824250927714e+001	2.13308757059300e+000,-4.96316255985087e-003
5.13370359025171e+001	2.13308746530932e+000,-4.99768394750418e-003
5.16941132255006e+001	2.13308735855594e+000,-5.03244544749840e-003
