Freq.	a	b	gain
2.37841000000000e+003	(-4.60382839237307e+001dB,-8.82867379400896e+001°)	(-8.24025376995193e+001dB,-1.69863499891432e+002°)	(3.63643000000000e+001dB,8.15768000000000e+001°)
2.39496000000000e+003	(-4.60382471667805e+001dB,-8.82748325176104e+001°)	(-8.24887298315841e+001dB,-1.69869246485088e+002°)	(3.64505000000000e+001dB,8.15944000000000e+001°)
2.41162000000000e+003	(-4.60382618628571e+001dB,-8.82628364139275e+001°)	(-8.25754172777314e+001dB,-1.69874211953281e+002°)	(3.65372000000000e+001dB,8.16114000000000e+001°)
2.42839000000000e+003	(-4.60382410082151e+001dB,-8.82507669402319e+001°)	(-8.26625366531081e+001dB,-1.69878454001532e+002°)	(3.66243000000000e+001dB,8.16277000000000e+001°)
2.44528000000000e+003	(-4.60382541378981e+001dB,-8.82385986502318e+001°)	(-8.27501668846504e+001dB,-1.69882021817454e+002°)	(3.67119000000000e+001dB,8.16434000000000e+001°)
2.46229000000000e+003	(-4.60382666603309e+001dB,-8.82263844160477e+001°)	(-8.28382650980135e+001dB,-1.69884871821078e+002°)	(3.68000000000000e+001dB,8.16585000000000e+001°)
2.47942000000000e+003	(-4.60382435566984e+001dB,-8.82140854888498e+001°)	(-8.29268365670370e+001dB,-1.69886981411901e+002°)	(3.68886000000000e+001dB,8.16729000000000e+001°)
2.49666000000000e+003	(-4.60382019443198e+001dB,-8.82016410330672e+001°)	(-8.30159471577645e+001dB,-1.69888256096970e+002°)	(3.69777000000000e+001dB,8.16867000000000e+001°)
2.51403000000000e+003	(-4.60381944989259e+001dB,-8.81891435337862e+001°)	(-8.31055596606079e+001dB,-1.69888888442122e+002°)	(3.70674000000000e+001dB,8.16998000000000e+001°)
2.53151000000000e+003	(-4.60381690205846e+001dB,-8.81766038038232e+001°)	(-8.31956881168085e+001dB,-1.69888680647956e+002°)	(3.71575000000000e+001dB,8.17121000000000e+001°)
2.54912000000000e+003	(-4.60381600223301e+001dB,-8.81639571812869e+001°)	(-8.32863059849005e+001dB,-1.69887814929206e+002°)	(3.72481000000000e+001dB,8.17238000000000e+001°)
2.56685000000000e+003	(-4.60381499831880e+001dB,-8.81511843456497e+001°)	(-8.33775553160647e+001dB,-1.69886024014397e+002°)	(3.73394000000000e+001dB,8.17349000000000e+001°)
2.58471000000000e+003	(-4.60381392296601e+001dB,-8.81383541588804e+001°)	(-8.34693718647252e+001dB,-1.69883452612498e+002°)	(3.74312000000000e+001dB,8.17451000000000e+001°)
2.60268000000000e+003	(-4.60381623802655e+001dB,-8.81254246831446e+001°)	(-8.35617763523756e+001dB,-1.69880060764862e+002°)	(3.75236000000000e+001dB,8.17547000000000e+001°)
2.62079000000000e+003	(-4.60382021421626e+001dB,-8.81124225001312e+001°)	(-8.36547511500696e+001dB,-1.69875853009537e+002°)	(3.76166000000000e+001dB,8.17635000000000e+001°)
2.63902000000000e+003	(-4.60381536615028e+001dB,-8.80992785752045e+001°)	(-8.37483195333283e+001dB,-1.69870874666867e+002°)	(3.77102000000000e+001dB,8.17716000000000e+001°)
2.65737000000000e+003	(-4.60381913612030e+001dB,-8.80860467679151e+001°)	(-8.38425008629750e+001dB,-1.69864997666342e+002°)	(3.78043000000000e+001dB,8.17789000000000e+001°)
2.67586000000000e+003	(-4.60381583067111e+001dB,-8.80726925820464e+001°)	(-8.39373175639613e+001dB,-1.69858177252062e+002°)	(3.78992000000000e+001dB,8.17855000000000e+001°)
2.69447000000000e+003	(-4.60381593974857e+001dB,-8.80592962943963e+001°)	(-8.40327705221601e+001dB,-1.69850578473238e+002°)	(3.79946000000000e+001dB,8.17913000000000e+001°)
2.71321000000000e+003	(-4.60381420824225e+001dB,-8.80458006386507e+001°)	(-8.41288506194401e+001dB,-1.69842011142246e+002°)	(3.80907000000000e+001dB,8.17962000000000e+001°)
