Freq.	a	b	gain
5.93809e+003	(-4.60363e+001dB,-8.57224e+001°)	(-1.06325e+002dB,-7.34411e+001°)	(6.02891e+001dB,-1.22812e+001°)
5.97940e+003	(-4.60363e+001dB,-8.56923e+001°)	(-1.06122e+002dB,-6.81232e+001°)	(6.00855e+001dB,-1.75690e+001°)
6.02099e+003	(-4.60363e+001dB,-8.56620e+001°)	(-1.05853e+002dB,-6.30877e+001°)	(5.98167e+001dB,-2.25744e+001°)
6.06287e+003	(-4.60364e+001dB,-8.56318e+001°)	(-1.05531e+002dB,-5.83843e+001°)	(5.94945e+001dB,-2.72476e+001°)
6.10504e+003	(-4.60363e+001dB,-8.56015e+001°)	(-1.05168e+002dB,-5.40389e+001°)	(5.91313e+001dB,-3.15626e+001°)
6.14750e+003	(-4.60363e+001dB,-8.55704e+001°)	(-1.04774e+002dB,-5.00569e+001°)	(5.87380e+001dB,-3.55136e+001°)
6.19026e+003	(-4.60363e+001dB,-8.55395e+001°)	(-1.04361e+002dB,-4.64287e+001°)	(5.83247e+001dB,-3.91107e+001°)
6.23332e+003	(-4.60364e+001dB,-8.55091e+001°)	(-1.03936e+002dB,-4.31356e+001°)	(5.78995e+001dB,-4.23736e+001°)
6.27667e+003	(-4.60363e+001dB,-8.54782e+001°)	(-1.03505e+002dB,-4.01518e+001°)	(5.74688e+001dB,-4.53263e+001°)
6.32033e+003	(-4.60364e+001dB,-8.54469e+001°)	(-1.03074e+002dB,-3.74510e+001°)	(5.70377e+001dB,-4.79959e+001°)
6.36429e+003	(-4.60363e+001dB,-8.54154e+001°)	(-1.02646e+002dB,-3.50046e+001°)	(5.66099e+001dB,-5.04108e+001°)
6.40856e+003	(-4.60363e+001dB,-8.53833e+001°)	(-1.02224e+002dB,-3.27869e+001°)	(5.61879e+001dB,-5.25964e+001°)
6.45313e+003	(-4.60363e+001dB,-8.53511e+001°)	(-1.01810e+002dB,-3.07730e+001°)	(5.57737e+001dB,-5.45781e+001°)
6.49802e+003	(-4.60361e+001dB,-8.53192e+001°)	(-1.01405e+002dB,-2.89409e+001°)	(5.53688e+001dB,-5.63783e+001°)
6.54322e+003	(-4.60362e+001dB,-8.52866e+001°)	(-1.01010e+002dB,-2.72704e+001°)	(5.49736e+001dB,-5.80162e+001°)
6.58873e+003	(-4.60362e+001dB,-8.52536e+001°)	(-1.00625e+002dB,-2.57438e+001°)	(5.45887e+001dB,-5.95098e+001°)
6.63456e+003	(-4.60361e+001dB,-8.52212e+001°)	(-1.00251e+002dB,-2.43452e+001°)	(5.42145e+001dB,-6.08760e+001°)
