Freq.	a	b	gain
1.98618e+003	(-4.60397e+001dB,-8.85697e+001°)	(-8.62231e+001dB,-1.02842e+002°)	(4.01834e+001dB,1.42722e+001°)
2.00000e+003	(-4.60397e+001dB,-8.85598e+001°)	(-8.62491e+001dB,-1.02872e+002°)	(4.02095e+001dB,1.43120e+001°)
2.01391e+003	(-4.60397e+001dB,-8.85498e+001°)	(-8.62755e+001dB,-1.02901e+002°)	(4.02358e+001dB,1.43510e+001°)
2.02792e+003	(-4.60397e+001dB,-8.85397e+001°)	(-8.63022e+001dB,-1.02929e+002°)	(4.02625e+001dB,1.43890e+001°)
2.04202e+003	(-4.60397e+001dB,-8.85295e+001°)	(-8.63292e+001dB,-1.02956e+002°)	(4.02896e+001dB,1.44262e+001°)
2.05623e+003	(-4.60397e+001dB,-8.85193e+001°)	(-8.63566e+001dB,-1.02982e+002°)	(4.03169e+001dB,1.44624e+001°)
2.07053e+003	(-4.60397e+001dB,-8.85090e+001°)	(-8.63843e+001dB,-1.03007e+002°)	(4.03446e+001dB,1.44976e+001°)
2.08493e+003	(-4.60397e+001dB,-8.84986e+001°)	(-8.64123e+001dB,-1.03030e+002°)	(4.03726e+001dB,1.45318e+001°)
2.09943e+003	(-4.60397e+001dB,-8.84882e+001°)	(-8.64406e+001dB,-1.03053e+002°)	(4.04009e+001dB,1.45650e+001°)
2.11404e+003	(-4.60397e+001dB,-8.84777e+001°)	(-8.64693e+001dB,-1.03075e+002°)	(4.04296e+001dB,1.45970e+001°)
2.12874e+003	(-4.60397e+001dB,-8.84671e+001°)	(-8.64983e+001dB,-1.03095e+002°)	(4.04587e+001dB,1.46280e+001°)
2.14355e+003	(-4.60397e+001dB,-8.84564e+001°)	(-8.65277e+001dB,-1.03114e+002°)	(4.04880e+001dB,1.46578e+001°)
2.15846e+003	(-4.60397e+001dB,-8.84457e+001°)	(-8.65574e+001dB,-1.03132e+002°)	(4.05177e+001dB,1.46865e+001°)
2.17347e+003	(-4.60397e+001dB,-8.84349e+001°)	(-8.65875e+001dB,-1.03149e+002°)	(4.05478e+001dB,1.47139e+001°)
2.18859e+003	(-4.60397e+001dB,-8.84239e+001°)	(-8.66179e+001dB,-1.03164e+002°)	(4.05782e+001dB,1.47402e+001°)
2.20381e+003	(-4.60397e+001dB,-8.84129e+001°)	(-8.66487e+001dB,-1.03178e+002°)	(4.06090e+001dB,1.47650e+001°)
2.21914e+003	(-4.60397e+001dB,-8.84019e+001°)	(-8.66798e+001dB,-1.03191e+002°)	(4.06402e+001dB,1.47886e+001°)
2.23457e+003	(-4.60397e+001dB,-8.83908e+001°)	(-8.67114e+001dB,-1.03202e+002°)	(4.06717e+001dB,1.48107e+001°)
2.25012e+003	(-4.60397e+001dB,-8.83796e+001°)	(-8.67432e+001dB,-1.03211e+002°)	(4.07036e+001dB,1.48315e+001°)
2.26577e+003	(-4.60397e+001dB,-8.83683e+001°)	(-8.67755e+001dB,-1.03219e+002°)	(4.07358e+001dB,1.48509e+001°)
2.28153e+003	(-4.60397e+001dB,-8.83571e+001°)	(-8.68081e+001dB,-1.03226e+002°)	(4.07685e+001dB,1.48687e+001°)
2.29740e+003	(-4.60397e+001dB,-8.83456e+001°)	(-8.68411e+001dB,-1.03231e+002°)	(4.08015e+001dB,1.48851e+001°)
2.31338e+003	(-4.60397e+001dB,-8.83341e+001°)	(-8.68745e+001dB,-1.03234e+002°)	(4.08349e+001dB,1.48998e+001°)
2.32947e+003	(-4.60397e+001dB,-8.83225e+001°)	(-8.69083e+001dB,-1.03235e+002°)	(4.08687e+001dB,1.49130e+001°)
2.34567e+003	(-4.60397e+001dB,-8.83109e+001°)	(-8.69425e+001dB,-1.03235e+002°)	(4.09028e+001dB,1.49245e+001°)
2.36199e+003	(-4.60397e+001dB,-8.82991e+001°)	(-8.69771e+001dB,-1.03233e+002°)	(4.09374e+001dB,1.49342e+001°)
2.37841e+003	(-4.60397e+001dB,-8.82873e+001°)	(-8.70120e+001dB,-1.03230e+002°)	(4.09724e+001dB,1.49422e+001°)
2.39496e+003	(-4.60397e+001dB,-8.82754e+001°)	(-8.70474e+001dB,-1.03224e+002°)	(4.10077e+001dB,1.49485e+001°)
2.41162e+003	(-4.60397e+001dB,-8.82633e+001°)	(-8.70832e+001dB,-1.03216e+002°)	(4.10435e+001dB,1.49528e+001°)
2.42839e+003	(-4.60397e+001dB,-8.82512e+001°)	(-8.71194e+001dB,-1.03206e+002°)	(4.10797e+001dB,1.49553e+001°)
2.44528e+003	(-4.60397e+001dB,-8.82390e+001°)	(-8.71560e+001dB,-1.03195e+002°)	(4.11163e+001dB,1.49558e+001°)
2.46229e+003	(-4.60397e+001dB,-8.82268e+001°)	(-8.71930e+001dB,-1.03181e+002°)	(4.11533e+001dB,1.49543e+001°)
2.47942e+003	(-4.60397e+001dB,-8.82145e+001°)	(-8.72304e+001dB,-1.03165e+002°)	(4.11907e+001dB,1.49507e+001°)
2.49666e+003	(-4.60397e+001dB,-8.82020e+001°)	(-8.72682e+001dB,-1.03147e+002°)	(4.12286e+001dB,1.49449e+001°)
2.51403e+003	(-4.60397e+001dB,-8.81895e+001°)	(-8.73065e+001dB,-1.03127e+002°)	(4.12668e+001dB,1.49370e+001°)
2.53151e+003	(-4.60397e+001dB,-8.81769e+001°)	(-8.73452e+001dB,-1.03104e+002°)	(4.13055e+001dB,1.49269e+001°)
2.54912e+003	(-4.60397e+001dB,-8.81644e+001°)	(-8.73843e+001dB,-1.03079e+002°)	(4.13447e+001dB,1.49144e+001°)
2.56685e+003	(-4.60397e+001dB,-8.81516e+001°)	(-8.74239e+001dB,-1.03051e+002°)	(4.13842e+001dB,1.48996e+001°)
2.58471e+003	(-4.60397e+001dB,-8.81387e+001°)	(-8.74639e+001dB,-1.03021e+002°)	(4.14243e+001dB,1.48824e+001°)
2.60268e+003	(-4.60397e+001dB,-8.81258e+001°)	(-8.75044e+001dB,-1.02988e+002°)	(4.14647e+001dB,1.48627e+001°)
2.62079e+003	(-4.60397e+001dB,-8.81128e+001°)	(-8.75453e+001dB,-1.02953e+002°)	(4.15056e+001dB,1.48404e+001°)
2.63902e+003	(-4.60397e+001dB,-8.80996e+001°)	(-8.75866e+001dB,-1.02915e+002°)	(4.15470e+001dB,1.48154e+001°)
2.65737e+003	(-4.60397e+001dB,-8.80864e+001°)	(-8.76284e+001dB,-1.02874e+002°)	(4.15888e+001dB,1.47878e+001°)
2.67586e+003	(-4.60397e+001dB,-8.80731e+001°)	(-8.76707e+001dB,-1.02831e+002°)	(4.16310e+001dB,1.47575e+001°)
2.69447e+003	(-4.60397e+001dB,-8.80597e+001°)	(-8.77134e+001dB,-1.02784e+002°)	(4.16737e+001dB,1.47242e+001°)
2.71321e+003	(-4.60397e+001dB,-8.80462e+001°)	(-8.77566e+001dB,-1.02734e+002°)	(4.17169e+001dB,1.46881e+001°)
2.73208e+003	(-4.60397e+001dB,-8.80326e+001°)	(-8.78002e+001dB,-1.02682e+002°)	(4.17605e+001dB,1.46489e+001°)
2.75108e+003	(-4.60397e+001dB,-8.80189e+001°)	(-8.78443e+001dB,-1.02626e+002°)	(4.18047e+001dB,1.46067e+001°)
2.77022e+003	(-4.60397e+001dB,-8.80052e+001°)	(-8.78889e+001dB,-1.02567e+002°)	(4.18492e+001dB,1.45614e+001°)
2.78949e+003	(-4.60397e+001dB,-8.79913e+001°)	(-8.79340e+001dB,-1.02504e+002°)	(4.18943e+001dB,1.45128e+001°)
2.80889e+003	(-4.60397e+001dB,-8.79773e+001°)	(-8.79795e+001dB,-1.02438e+002°)	(4.19398e+001dB,1.44608e+001°)
2.82843e+003	(-4.60397e+001dB,-8.79633e+001°)	(-8.80255e+001dB,-1.02369e+002°)	(4.19858e+001dB,1.44055e+001°)
2.84810e+003	(-4.60397e+001dB,-8.79490e+001°)	(-8.80720e+001dB,-1.02296e+002°)	(4.20323e+001dB,1.43467e+001°)
2.86791e+003	(-4.60397e+001dB,-8.79348e+001°)	(-8.81189e+001dB,-1.02219e+002°)	(4.20793e+001dB,1.42843e+001°)
2.88786e+003	(-4.60397e+001dB,-8.79204e+001°)	(-8.81664e+001dB,-1.02139e+002°)	(4.21267e+001dB,1.42182e+001°)
2.90795e+003	(-4.60397e+001dB,-8.79059e+001°)	(-8.82143e+001dB,-1.02054e+002°)	(4.21747e+001dB,1.41483e+001°)
2.92817e+003	(-4.60397e+001dB,-8.78914e+001°)	(-8.82627e+001dB,-1.01966e+002°)	(4.22231e+001dB,1.40745e+001°)
2.94854e+003	(-4.60397e+001dB,-8.78767e+001°)	(-8.83116e+001dB,-1.01873e+002°)	(4.22720e+001dB,1.39968e+001°)
2.96905e+003	(-4.60397e+001dB,-8.78619e+001°)	(-8.83611e+001dB,-1.01777e+002°)	(4.23214e+001dB,1.39150e+001°)
2.98970e+003	(-4.60397e+001dB,-8.78471e+001°)	(-8.84110e+001dB,-1.01676e+002°)	(4.23713e+001dB,1.38289e+001°)
3.01049e+003	(-4.60397e+001dB,-8.78321e+001°)	(-8.84613e+001dB,-1.01571e+002°)	(4.24217e+001dB,1.37386e+001°)
3.03143e+003	(-4.60397e+001dB,-8.78170e+001°)	(-8.85122e+001dB,-1.01461e+002°)	(4.24726e+001dB,1.36439e+001°)
3.05252e+003	(-4.60397e+001dB,-8.78018e+001°)	(-8.85636e+001dB,-1.01346e+002°)	(4.25239e+001dB,1.35447e+001°)
3.07375e+003	(-4.60397e+001dB,-8.77864e+001°)	(-8.86155e+001dB,-1.01227e+002°)	(4.25758e+001dB,1.34408e+001°)
3.09513e+003	(-4.60397e+001dB,-8.77710e+001°)	(-8.86678e+001dB,-1.01103e+002°)	(4.26282e+001dB,1.33321e+001°)
3.11666e+003	(-4.60397e+001dB,-8.77555e+001°)	(-8.87207e+001dB,-1.00974e+002°)	(4.26810e+001dB,1.32186e+001°)
3.13834e+003	(-4.60397e+001dB,-8.77399e+001°)	(-8.87741e+001dB,-1.00840e+002°)	(4.27344e+001dB,1.31001e+001°)
3.16017e+003	(-4.60397e+001dB,-8.77242e+001°)	(-8.88279e+001dB,-1.00701e+002°)	(4.27882e+001dB,1.29764e+001°)
3.18215e+003	(-4.60397e+001dB,-8.77084e+001°)	(-8.88822e+001dB,-1.00556e+002°)	(4.28426e+001dB,1.28475e+001°)
3.20428e+003	(-4.60397e+001dB,-8.76924e+001°)	(-8.89371e+001dB,-1.00406e+002°)	(4.28974e+001dB,1.27131e+001°)
3.22657e+003	(-4.60397e+001dB,-8.76764e+001°)	(-8.89924e+001dB,-1.00250e+002°)	(4.29527e+001dB,1.25732e+001°)
3.24901e+003	(-4.60397e+001dB,-8.76602e+001°)	(-8.90482e+001dB,-1.00088e+002°)	(4.30086e+001dB,1.24277e+001°)
3.27161e+003	(-4.60397e+001dB,-8.76440e+001°)	(-8.91045e+001dB,-9.99203e+001°)	(4.30648e+001dB,1.22763e+001°)
3.29436e+003	(-4.60397e+001dB,-8.76276e+001°)	(-8.91613e+001dB,-9.97465e+001°)	(4.31216e+001dB,1.21189e+001°)
3.31728e+003	(-4.60397e+001dB,-8.76111e+001°)	(-8.92185e+001dB,-9.95665e+001°)	(4.31789e+001dB,1.19554e+001°)
3.34035e+003	(-4.60397e+001dB,-8.75945e+001°)	(-8.92763e+001dB,-9.93801e+001°)	(4.32366e+001dB,1.17856e+001°)
3.36359e+003	(-4.60397e+001dB,-8.75777e+001°)	(-8.93344e+001dB,-9.91871e+001°)	(4.32948e+001dB,1.16095e+001°)
3.38698e+003	(-4.60397e+001dB,-8.75608e+001°)	(-8.93931e+001dB,-9.89875e+001°)	(4.33534e+001dB,1.14266e+001°)
3.41054e+003	(-4.60397e+001dB,-8.75439e+001°)	(-8.94522e+001dB,-9.87809e+001°)	(4.34125e+001dB,1.12370e+001°)
3.43426e+003	(-4.60396e+001dB,-8.75268e+001°)	(-8.95117e+001dB,-9.85673e+001°)	(4.34721e+001dB,1.10405e+001°)
3.45815e+003	(-4.60396e+001dB,-8.75096e+001°)	(-8.95718e+001dB,-9.83464e+001°)	(4.35321e+001dB,1.08369e+001°)
3.48220e+003	(-4.60396e+001dB,-8.74923e+001°)	(-8.96322e+001dB,-9.81182e+001°)	(4.35925e+001dB,1.06259e+001°)
3.50642e+003	(-4.60397e+001dB,-8.74748e+001°)	(-8.96930e+001dB,-9.78823e+001°)	(4.36534e+001dB,1.04075e+001°)
3.53081e+003	(-4.60397e+001dB,-8.74574e+001°)	(-8.97543e+001dB,-9.76388e+001°)	(4.37147e+001dB,1.01814e+001°)
