frequency	V(inoise)	V(onoise)
5.623413251903425e+002	8.501965e-008	1.295586e-008
5.754399373371501e+002	8.501964e-008	1.295585e-008
5.888436553555820e+002	8.501962e-008	1.295583e-008
6.025595860743506e+002	8.501961e-008	1.295582e-008
6.165950018614748e+002	8.501960e-008	1.295580e-008
6.309573444801856e+002	8.501959e-008	1.295578e-008
6.456542290346476e+002	8.501958e-008	1.295576e-008
6.606934480075879e+002	8.501957e-008	1.295574e-008
6.760829753919735e+002	8.501956e-008	1.295572e-008
6.918309709189280e+002	8.501955e-008	1.295570e-008
7.079457843841292e+002	8.501954e-008	1.295568e-008
7.244359600749812e+002	8.501954e-008	1.295566e-008
7.413102413009084e+002	8.501953e-008	1.295563e-008
7.585775750291745e+002	8.501951e-008	1.295561e-008
7.762471166286822e+002	8.501951e-008	1.295558e-008
7.943282347242717e+002	8.501950e-008	1.295555e-008
8.128305161640892e+002	8.501949e-008	1.295552e-008
8.317637711026607e+002	8.501949e-008	1.295549e-008
8.511380382023659e+002	8.501948e-008	1.295546e-008
8.709635899560698e+002	8.501947e-008	1.295543e-008
8.912509381337344e+002	8.501947e-008	1.295539e-008
9.120108393558983e+002	8.501946e-008	1.295536e-008
9.332543007969792e+002	8.501944e-008	1.295532e-008
9.549925860214238e+002	8.501944e-008	1.295528e-008
9.772372209557982e+002	8.501943e-008	1.295524e-008
9.999999999999872e+002	8.501942e-008	1.295519e-008
1.023292992280741e+003	8.501942e-008	1.295515e-008
1.047128548050886e+003	8.501941e-008	1.295510e-008
1.071519305237592e+003	8.501940e-008	1.295505e-008
1.096478196143171e+003	8.501939e-008	1.295499e-008
1.122018454301949e+003	8.501939e-008	1.295494e-008
1.148153621496868e+003	8.501938e-008	1.295488e-008
1.174897554939514e+003	8.501937e-008	1.295482e-008
1.202264434617397e+003	8.501936e-008	1.295476e-008
1.230268770812365e+003	8.501935e-008	1.295469e-008
1.258925411794151e+003	8.501934e-008	1.295462e-008
1.288249551693117e+003	8.501934e-008	1.295455e-008
1.318256738556389e+003	8.501933e-008	1.295447e-008
1.348962882591635e+003	8.501932e-008	1.295440e-008
1.380384264602866e+003	8.501931e-008	1.295431e-008
1.412537544622735e+003	8.501929e-008	1.295423e-008
1.445439770745908e+003	8.501929e-008	1.295413e-008
1.479108388168187e+003	8.501928e-008	1.295404e-008
1.513561248436188e+003	8.501927e-008	1.295394e-008
1.548816618912460e+003	8.501925e-008	1.295384e-008
1.584893192461092e+003	8.501924e-008	1.295373e-008
1.621810097358908e+003	8.501923e-008	1.295361e-008
1.659586907437538e+003	8.501922e-008	1.295349e-008
1.698243652461721e+003	8.501921e-008	1.295337e-008
1.737800828749352e+003	8.501920e-008	1.295323e-008
1.778279410038899e+003	8.501918e-008	1.295310e-008
1.819700858609959e+003	8.501917e-008	1.295295e-008
1.862087136662842e+003	8.501915e-008	1.295280e-008
1.905460717963221e+003	8.501913e-008	1.295264e-008
1.949844599758018e+003	8.501912e-008	1.295248e-008
1.995262314968852e+003	8.501910e-008	1.295230e-008
2.041737944669501e+003	8.501908e-008	1.295212e-008
2.089296130854011e+003	8.501906e-008	1.295193e-008
2.137962089502203e+003	8.501904e-008	1.295173e-008
2.187761623949522e+003	8.501902e-008	1.295153e-008
2.238721138568309e+003	8.501900e-008	1.295131e-008
2.290867652767741e+003	8.501897e-008	1.295108e-008
2.344228815319890e+003	8.501895e-008	1.295084e-008
2.398832919019457e+003	8.501893e-008	1.295059e-008
2.454708915684996e+003	8.501890e-008	1.295033e-008
2.511886431509545e+003	8.501888e-008	1.295005e-008
2.570395782768828e+003	8.501885e-008	1.294977e-008
2.630267991895345e+003	8.501882e-008	1.294946e-008
2.691534803926878e+003	8.501879e-008	1.294915e-008
2.754228703338128e+003	8.501875e-008	1.294882e-008
2.818382931264414e+003	8.501872e-008	1.294847e-008
2.884031503126565e+003	8.501868e-008	1.294811e-008
2.951209226666344e+003	8.501865e-008	1.294773e-008
3.019951720401973e+003	8.501861e-008	1.294734e-008
3.090295432513546e+003	8.501857e-008	1.294692e-008
3.162277660168334e+003	8.501853e-008	1.294649e-008
3.235936569296236e+003	8.501848e-008	1.294603e-008
3.311311214825863e+003	8.501843e-008	1.294556e-008
3.388441561391976e+003	8.501839e-008	1.294506e-008
3.467368504525266e+003	8.501833e-008	1.294454e-008
3.548133892335703e+003	8.501828e-008	1.294399e-008
3.630780547700960e+003	8.501822e-008	1.294342e-008
3.715352290971671e+003	8.501816e-008	1.294282e-008
3.801893963205556e+003	8.501810e-008	1.294219e-008
3.890451449942748e+003	8.501803e-008	1.294153e-008
3.981071705534913e+003	8.501797e-008	1.294085e-008
4.073802778041067e+003	8.501789e-008	1.294013e-008
4.168693834703292e+003	8.501782e-008	1.293937e-008
4.265795188015863e+003	8.501774e-008	1.293858e-008
4.365158322401594e+003	8.501765e-008	1.293776e-008
4.466835921509563e+003	8.501757e-008	1.293689e-008
4.570881896148680e+003	8.501748e-008	1.293599e-008
4.677351412871911e+003	8.501738e-008	1.293504e-008
4.786300923226310e+003	8.501728e-008	1.293405e-008
4.897788193684387e+003	8.501717e-008	1.293301e-008
5.011872336272646e+003	8.501706e-008	1.293192e-008
5.128613839913570e+003	8.501694e-008	1.293078e-008
5.248074602497645e+003	8.501682e-008	1.292959e-008
5.370317963702444e+003	8.501669e-008	1.292835e-008
5.495408738576160e+003	8.501656e-008	1.292704e-008
5.623413251903404e+003	8.501642e-008	1.292567e-008
5.754399373371480e+003	8.501627e-008	1.292424e-008
5.888436553555798e+003	8.501612e-008	1.292275e-008
6.025595860743483e+003	8.501596e-008	1.292118e-008
6.165950018614725e+003	8.501578e-008	1.291954e-008
6.309573444801834e+003	8.501561e-008	1.291782e-008
6.456542290346454e+003	8.501542e-008	1.291603e-008
6.606934480075856e+003	8.501523e-008	1.291415e-008
6.760829753919711e+003	8.501502e-008	1.291218e-008
6.918309709189256e+003	8.501480e-008	1.291012e-008
7.079457843841267e+003	8.501458e-008	1.290797e-008
7.244359600749786e+003	8.501434e-008	1.290571e-008
7.413102413009058e+003	8.501409e-008	1.290335e-008
7.585775750291718e+003	8.501384e-008	1.290089e-008
7.762471166286794e+003	8.501356e-008	1.289830e-008
7.943282347242689e+003	8.501328e-008	1.289560e-008
8.128305161640863e+003	8.501298e-008	1.289277e-008
8.317637711026577e+003	8.501267e-008	1.288981e-008
8.511380382023628e+003	8.501233e-008	1.288672e-008
8.709635899560666e+003	8.501199e-008	1.288348e-008
8.912509381337311e+003	8.501163e-008	1.288009e-008
9.120108393558950e+003	8.501124e-008	1.287655e-008
9.332543007969760e+003	8.501085e-008	1.287285e-008
9.549925860214205e+003	8.501043e-008	1.286897e-008
9.772372209557949e+003	8.500999e-008	1.286492e-008
9.999999999999838e+003	8.500954e-008	1.286068e-008
1.023292992280738e+004	8.500906e-008	1.285624e-008
1.047128548050883e+004	8.500855e-008	1.285160e-008
1.071519305237589e+004	8.500803e-008	1.284676e-008
1.096478196143167e+004	8.500747e-008	1.284169e-008
1.122018454301945e+004	8.500690e-008	1.283639e-008
1.148153621496864e+004	8.500628e-008	1.283085e-008
1.174897554939510e+004	8.500565e-008	1.282505e-008
1.202264434617393e+004	8.500498e-008	1.281900e-008
1.230268770812361e+004	8.500429e-008	1.281267e-008
1.258925411794147e+004	8.500356e-008	1.280606e-008
1.288249551693113e+004	8.500279e-008	1.279915e-008
1.318256738556385e+004	8.500199e-008	1.279193e-008
1.348962882591631e+004	8.500115e-008	1.278438e-008
1.380384264602862e+004	8.500027e-008	1.277650e-008
