time	V(pwm)	V(tri)
5.167086525689577e-003	4.172861e+000	1.985160e+000
5.167086765216869e-003	4.172552e+000	1.985170e+000
5.167087042407598e-003	4.172193e+000	1.985181e+000
5.167087374705903e-003	4.171763e+000	1.985195e+000
5.167087996238983e-003	4.170958e+000	1.985221e+000
5.167088770813177e-003	4.169953e+000	1.985254e+000
5.167089539129312e-003	4.168955e+000	1.985286e+000
5.167090582116229e-003	4.167597e+000	1.985330e+000
5.167091927610886e-003	4.165841e+000	1.985386e+000
5.167094078893497e-003	4.163022e+000	1.985476e+000
5.167097472107311e-003	4.158545e+000	1.985619e+000
5.167104005116194e-003	4.149818e+000	1.985893e+000
5.167117071133960e-003	4.131945e+000	1.986442e+000
5.167143203169491e-003	4.094522e+000	1.987540e+000
5.167195467240553e-003	4.013197e+000	1.989734e+000
5.167294239108337e-003	3.835996e+000	1.993882e+000
5.167488672612870e-003	3.400772e+000	2.002046e+000
5.167874154749194e-003	2.333094e+000	2.018233e+000
5.168143849293505e-003	1.471448e+000	2.029558e+000
5.168211272929582e-003	1.251430e+000	2.032389e+000
5.168346120201737e-003	8.534850e-001	2.038051e+000
5.168467672228483e-003	5.677990e-001	2.043155e+000
5.168605526675225e-003	3.590198e-001	2.048944e+000
5.168749929428534e-003	2.432121e-001	2.055007e+000
5.168809123847408e-003	2.224036e-001	2.057492e+000
5.168879591311586e-003	2.121877e-001	2.060451e+000
5.168967192560098e-003	2.041636e-001	2.064130e+000
5.169095548634930e-003	1.959447e-001	2.069519e+000
5.169261944171995e-003	1.876101e-001	2.076506e+000
5.169524758801289e-003	1.770464e-001	2.087541e+000
5.169985834952519e-003	1.631414e-001	2.106900e+000
5.170807047393001e-003	1.462616e-001	2.141380e+000
5.171709638710919e-003	1.345353e-001	2.179275e+000
5.172744069522090e-003	1.266023e-001	2.222704e+000
5.174092482572570e-003	1.205700e-001	2.279313e+000
5.175785368737392e-003	1.161909e-001	2.350378e+000
5.178151023159733e-003	1.123777e-001	2.449678e+000
5.180881749577214e-003	1.091229e-001	2.564290e+000
5.185713835430027e-003	1.042532e-001	2.767065e+000
5.192773458028844e-003	9.774267e-002	3.063248e+000
5.202539083028843e-003	8.944006e-002	3.472830e+000
5.212304708028843e-003	8.178290e-002	3.882232e+000
5.218514304841923e-003	7.722240e-002	4.142427e+000
5.218571176998811e-003	7.718111e-002	4.144808e+000
5.219204032002542e-003	7.674201e-002	4.171304e+000
5.219836887006273e-003	7.630588e-002	4.197787e+000
5.220469742010004e-003	7.587271e-002	4.224257e+000
5.221102597013735e-003	7.544250e-002	4.250714e+000
5.221735452017466e-003	7.501526e-002	4.277159e+000
5.222368307021197e-003	7.459098e-002	4.303590e+000
5.223001162024928e-003	7.416967e-002	4.330009e+000
5.224490853151587e-003	7.318227e-002	4.392088e+000
5.225401376102821e-003	7.258558e-002	4.429928e+000
5.225527984841706e-003	7.250317e-002	4.435175e+000
5.225781202319477e-003	7.233904e-002	4.445639e+000
5.226287637275018e-003	7.201177e-002	4.466500e+000
5.226589824374062e-003	7.181700e-002	4.478900e+000
5.226630444998924e-003	7.179088e-002	4.480560e+000
5.226711686248645e-003	7.173871e-002	4.483867e+000
5.226841772423364e-003	7.165523e-002	4.489151e+000
